,X1,Y1,Y2,X3,Y3,H,omega,phi,kappa,b1,b2,b3,b4,b5,b6,b7,b8,b9,det,dX1,dX2,dX3,dX4,dX5,dX6,dX7,dX8,dX9,SE
10,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.4736711920076866,0.013876824873616246,2.431538414686524,2.0958817119108175e-12,-3.032442821322116e-09,-3.494492504005661e-09,-1.0481189943734037e-09,-1.8129567291857995e-10,-9.069126283289819e-10,-3.6604538844464685e-12,-1.4301232975633127e-09,8.834022402481878e-11,0.003490927528249432,-2.7831708947965205e-10,1.4462673703045965e-09,1.4473153111605591e-09,-2.0255677353335606e-09,1.4459455115614025e-09,3.078141258575178e-09,-4.680194268661945e-09,-6.551568337405629e-09,5.842214899658853e-10,2.5414173821004597e-17
11,0.03245207,0.08904133,0.24404133,0.30245126,0.0896994,-0.36324324,2.4736711881115085,0.013876820656748431,2.4315384144007086,1.843296796561818e-09,3.6858419139243952e-09,3.229721068776359e-09,3.591938343983081e-10,3.0578324594632278e-09,-6.908563443541738e-10,1.8493062012292505e-09,1.9224719038923865e-09,1.5219493304519105e-09,0.003490927426532044,1.3202686210233557e-09,4.174204940978601e-09,5.09585334473974e-09,2.9350535637758907e-09,4.207191549707942e-09,-4.277280518000334e-09,-3.511064595482203e-10,-1.866159198394814e-09,9.017941487970855e-10,4.6803075337729514e-17
12,0.03245206,0.08904134,0.24404134,0.30245126,0.0896994,-0.36324324,2.473671189199168,0.013876820595200423,2.4315384152015254,6.776564076907499e-11,9.203855969611161e-11,6.493072540541894e-11,-3.7134280719830493e-09,4.2417735157673775e-09,-4.859376512289515e-09,2.6404117225986568e-09,-1.5010744869314863e-09,2.3423308119496777e-09,0.0034909275246395787,5.280946009484412e-09,2.222244617496752e-09,2.2561274378886967e-09,5.313416450237318e-09,2.2202006947525247e-09,-2.1701452174718807e-09,-1.559618977649628e-09,-1.797772890276458e-09,1.1997791435847769e-11,7.012452228345161e-17
13,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.4736711904172535,0.013876825603495372,2.4315384147585335,4.974649724412148e-12,-3.048271040728939e-09,-3.5066891777178084e-09,-3.3261150778063353e-10,-1.3786874419885464e-10,-2.675461241441468e-10,-7.224934539529215e-11,-5.644671674520652e-10,2.0397286637496848e-10,0.0034909275629008206,-1.3793092386715874e-09,1.7835611554749996e-09,1.7860484803372456e-09,-3.132674543966997e-09,1.7899289385387903e-09,2.382542525123187e-09,-2.9130461215126032e-09,-7.362545021294318e-09,5.04210985261535e-10,2.2155517289548022e-17
14,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.473671190901212,0.013876825020901288,2.431538414758608,3.8328413024069805e-11,-3.958314071301168e-09,-4.629004484251269e-09,-2.6842439382335215e-10,-3.4884872768259356e-12,-5.149386472780293e-11,2.702659207542979e-10,-4.3884057498999596e-10,1.4654507121680815e-10,0.003490927567241651,-1.1160552685425998e-09,1.7340032961351963e-09,1.7531675026496006e-09,-3.430463101256747e-09,1.6924553828248496e-09,3.1730894659726062e-09,-3.4507780300453457e-09,-6.715217763461899e-09,5.041276727809068e-10,3.745921748844829e-17
15,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324324,2.473671186050241,0.013876826097454038,2.4315384139183225,1.0547311456121287e-09,1.8470253907968046e-09,1.4873998637692723e-09,-1.6342259281931781e-09,1.3162426426571727e-09,-2.3208904798011076e-09,6.849840486489178e-10,-1.7256538975551905e-09,1.4813016160908354e-09,0.0034909275373300208,-6.029674860126006e-10,1.8154696975272935e-09,2.3428352721276446e-09,1.4081357518242696e-10,1.7830900621664178e-09,-1.9442158687672636e-09,1.939191995040955e-09,-7.911387866801356e-09,1.4377788581593352e-09,2.2167379635356823e-17
16,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.473671183319955,0.013876824722022603,2.4315384152122177,1.824402412296766e-10,-1.6986279299891367e-09,-2.0889806859633904e-09,3.5079706500740215e-10,3.078196475492234e-09,6.264474217143601e-10,3.4229528378393326e-09,-1.8263401901918996e-10,4.246496310839065e-09,0.003490927682230026,-1.7401003820461215e-09,1.9440050448827243e-09,2.035225165551247e-09,-2.78453412307663e-09,1.9195104672989513e-09,2.792156663218222e-09,4.972841033722843e-09,-6.383131035730934e-09,1.1781211666697402e-13,4.705594232015562e-17
17,0.03245206,0.08904134,0.24404134,0.30245126,0.0896994,-0.36324324,2.473671189249014,0.013876820896850581,2.431538415170669,1.2663817127561527e-11,2.3753284084211915e-11,2.0159799755485132e-11,-3.768271888970887e-09,4.618425641922386e-09,-5.045755202548463e-09,2.8421212050488975e-09,-1.3472707949269136e-09,2.547798968327575e-09,0.0034909275270232167,5.474010248616476e-09,2.627958330190954e-09,2.6342902387549933e-09,5.48409009641015e-09,2.627991983835705e-09,-2.406888557669764e-09,-1.6150017083304278e-09,-2.1329399873476198e-09,4.628278680214459e-11,7.737457613357715e-17
18,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324324,2.473671192236163,0.01387682465293021,2.4315384150499435,8.216993393949495e-14,-1.2033871576963946e-11,-1.3919061376739177e-11,-1.4025997099875731e-09,-4.255357177740393e-10,-2.2097543239674167e-09,-1.6441949954315582e-09,-5.892324128620174e-10,-1.0826884458414732e-09,0.0034909274711740833,4.5432097251901965e-10,2.230578470567117e-09,2.2306195555340866e-09,4.4736144419801874e-10,2.2305690181650494e-09,-1.7994665779975602e-09,-4.934057620457486e-09,-6.306361456833634e-09,1.8042184791240841e-10,1.1254505617066026e-17
19,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.4736711915338168,0.013876824789227618,2.4315384148406674,3.3288336245202427e-11,-2.2386085482649e-09,-2.25635641857867e-09,-1.6330904684114245e-10,1.3456480374429702e-10,-1.074368094489131e-10,1.58588760179601e-10,-3.6936226299744135e-10,7.340755711626734e-10,0.0034909275179517032,-8.150739981052005e-10,2.197543975951582e-09,2.2141881440759707e-09,-1.9439798887365683e-09,2.4947336913033536e-09,2.5681473114562013e-09,-4.15367009364016e-09,-6.457803206197291e-09,4.1295104938732994e-10,1.0860386652926984e-17
20,0.03245197,0.08904142,0.24404142,0.30245117,0.08969948,-0.36324305,2.4736713622494686,0.013877066401998789,2.431538403312028,2.7307905041183287e-15,-1.494785833160842e-08,-1.721772004805557e-08,-2.5696498344440766e-07,-1.3369244308836237e-07,-3.051683754584644e-07,-2.0265498024141237e-07,-1.9117839825111282e-07,-1.8915522298143528e-07,0.0034909245350370588,1.1009967408123351e-07,-9.02668265543625e-08,-9.026682518896725e-08,1.0149078876231404e-07,-9.026682671684406e-08,-2.101934427348098e-07,-1.938376205109419e-07,-2.749164862247294e-07,1.322253306662283e-08,2.9095021714349793e-13
