,X,Y,Z,omega,phi,kappa,c,b1,b2,b3,b4,b5,b6,b7,SE
38,0.09841213,-0.11115395,0.36870385,2.63951213,0.04394566,2.84043948,1036.39022073,1.720901297358468e-05,-0.00019254011109742786,0.0001195386569200485,5.563289978111063e-06,-0.0005683094087297336,-0.00021159376597856827,0.00033338993379355975,0.0008254816301797209
71,0.09841418,-0.11115551,-0.36870449,2.63951144,0.04393969,-0.30115331,1036.3923008,1.7030289092889728e-05,-0.00019222690548159616,0.00011910319871621944,4.1297159516784365e-06,-0.0005678656161653972,-0.00021044148474996804,0.00033336353517010586,0.0008254856260147676
44,0.09841595,-0.11115922,-0.36870143,2.63950396,0.04393153,-0.3011555,1036.39037508,1.736628381449057e-05,-0.0001905414044816034,0.0001184881232282331,2.799647579432296e-06,-0.0005668825045055947,-0.00020850070730188408,0.00033166066852524656,0.0008255248229930991
2,0.09847858,-0.11121673,-0.36876,2.63949773,0.04374596,-0.30114627,1036.54461444,7.207942525289113e-06,-0.00018342995499920356,0.00010504630481777966,-4.5706271716766667e-05,-0.0005588541078651588,-0.00017699635090639987,0.0003365167135022662,0.000829072379473932
51,0.09886155,-0.11207276,-0.36956181,2.63880542,0.04218598,-0.30108228,1038.75572791,-0.000221345219125757,-0.00014088590798716494,-0.0001588349087615626,-0.0007187412202987187,-0.0004731340519333882,-0.00024957967032185335,0.00042136580922330635,0.0011808300364351723
42,-0.58378117,-0.26009508,-0.60903503,2.58849238,0.76595731,-0.33012905,2379.9277165,-0.08513019703749096,0.10538547121556657,-0.06198944552902039,0.11641874623916988,0.010511112458147641,-0.0002818732149429959,0.04722421775654531,0.19534051266394176
47,0.46267399,-0.09573342,0.21457783,2.75118467,-0.84806507,3.11760799,1575.65873823,0.0394974815798837,-0.02779654827590075,-0.042686529255165806,0.05043029475861241,-0.029985806767858128,0.32500577867624325,0.05231044406267529,0.34054814265361766
85,0.21508665,-0.37824606,0.21598899,2.24646014,-0.631202,2.83394744,1397.59800885,-0.016918752576921936,0.006238237913243183,-0.060467494002295674,-0.1294325896940384,0.039962024315796,0.10449078666486067,0.023978797754345,0.355397598054987
89,-41.14993625,-35.11661624,8.60668421,0.88725025,-1.31947351,-0.19642495,2494.36399137,-0.1840396483818826,0.1377722277539244,-0.20853147784538745,-0.07448133236710762,0.06961256975989312,-0.12816318481203282,0.15584061121418796,0.38649023902938595
18,-10.27906884,-8.55236434,1.18980261,0.89906555,-1.42793855,-0.21006128,2267.38210625,-0.20251977929415318,0.15162975273927765,-0.22918404877161166,-0.09145315858955605,0.075088765032736,-0.1394202520014933,0.16964536716497156,0.426946801029449
87,-0.36568507,-0.36737766,-0.06598154,1.69693454,2.25497154,2.46809197,3582.07089418,-0.1605332280828854,0.05283903913010338,-0.3055356556929236,0.11567565419270193,0.10986214085661664,-0.1578169731290038,0.3083922881629576,0.5688370417507181
61,-4.8051498,-4.18492916,0.65839717,1.29181072,-1.1887957,-0.59444901,1548.699077,-0.2964360876370783,0.22203206723307686,-0.32884890436079217,-0.14034311749355374,0.10631184568993463,-0.20358509541205735,0.23808710776304398,0.6190770214031812
52,-0.23475573,-0.14322101,-0.01181571,1.27061386,1.14601803,1.77647108,3044.30469477,-0.03609794502986961,0.14391770090241884,0.16787019666361003,0.45972171332684764,0.21256789896235437,-0.04424890078417301,0.136990114909542,0.6195829163036005
58,0.26986505,-0.85508623,-0.99325801,3.34862421,-0.66197871,-0.58651981,3793.72130145,0.21889552406274998,0.2524498782662985,0.3074017047544806,0.20643995401137502,0.36251932776934775,0.38029615889612484,0.30235644983231735,0.8854717252391467
41,0.14567293,0.13251696,0.01236356,1.60176354,-0.66951738,1.54033214,1781.99057963,0.5653982819259916,-0.3171093565195478,-0.6048769685314207,0.31671590137868905,0.46615645487520957,-0.5349818156344966,-0.5050676424377639,1.3906602247231694
75,0.14682612,0.13313747,0.00864997,1.59564315,-0.54732712,1.54411138,1826.04534266,0.6107444841278782,-0.24541771675308366,-0.6506464606942667,0.24329674038108853,0.5204124263594068,-0.4660258274151633,-0.5590194735048473,1.3911014037719405
55,0.15199762,0.12605207,0.0091084,1.56916585,0.15776436,-1.58944619,2353.93881479,0.6824960566688771,0.20720861345099378,-0.7133812771069369,-0.2127355390493556,0.6545879549258429,0.03323952283815666,-0.684941880901597,1.401006923847423
15,-0.02239379,-0.07442281,0.02996335,0.76047565,-1.99498266,2.92762556,2974.62410815,-0.5623352643504388,-0.6078419342857647,-0.43522197062092416,-1.4193033868068219,0.2578845779359198,-0.3282353496176302,0.4737599236149301,1.851146642299189
